document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
0fb8e12026,29.3,d,depto,2266.9,1268.7,1.9,1.9,0.47,0.47,7.726609572164817,7.1465359310757455,25,0.8732147490945636,False
1b77c52021,52.3,d,depto,4709.8,2587.7,1.9,1.9,0.47,0.47,8.457613023967394,7.8589110981823715,25,1.0,False
823c442023,47.4,a,depto,159.3,2286.4,4.0,4.0,0.84,0.84,5.0770470596155075,7.735171080347117,4,0.3807710069260443,False
4348e62025,46.5,d,depto,1419.9,2362.9,1.9,1.9,0.47,0.47,7.259045752644029,7.768068076446835,25,1.0,False
da26d62025,47.3,d,depto,5886.2,2394.1,1.9,1.9,0.47,0.47,8.68053578161239,7.781180262626801,25,1.0,False
03d14e2026,27.3,e,depto,1926.1,3038.7,1.7,1.7,0.38,0.38,7.5637715612038745,8.019514105320134,13,0.26171013136660165,False
37d5e62026,47.0,d,casa_pareada,4426.7,2381.7,1.7,1.7,0.38,0.38,8.39563554085584,7.775989577440603,31,1.0,False
7994742026,59.9,f,depto,1440.5,3329.7,1.6,1.6,0.33,0.33,7.273439517078457,8.11093777109363,22,0.3526639077384938,False
f4593f2025,56.9,g,casa_pareada,12685.5,3313.7,1.1,1.1,0.28,0.28,9.448293714943873,8.106122400787239,-1,0.0,True
88d6312026,35.8,d,depto,2155.7,1718.5,1.9,1.9,0.47,0.47,7.676334554657935,7.449788829872321,25,0.8297813599150748,False
3480a62022,52.3,d,depto,6485.7,2588.9,1.9,1.9,0.47,0.47,8.77750920580483,7.859374543909587,25,1.0,False
e46ac62022,51.9,b,depto,2692.3,3159.8,3.0,3.0,0.6,0.6,7.898522486532821,8.058580439097181,8,1.0,False
03ecce2024,49.8,b,casa_aislada,3317.4,3061.9,3.0,3.0,0.6,0.6,8.107238018035208,8.027117458568844,8,0.9990811495480215,False
c62f052024,48.5,d,depto,522.3,2443.2,1.9,1.9,0.47,0.47,6.260154913378162,7.8014731500039005,25,0.5804953097175409,False
aa31e52025,49.2,b,casa_pareada,5419.2,3029.9,4.0,4.0,0.84,0.84,8.597887994121894,8.016614884101797,1,0.04104056300316786,False
6eefa32024,49.2,e,depto,1352.6,2755.6,1.7,1.7,0.38,0.38,7.210522988851959,7.9217533152603385,13,0.789465187998635,False
f7f6502026,48.4,g,depto,9110.4,2928.0,1.1,1.1,0.28,0.28,9.117281655724577,7.982416346827733,28,0.6731276827096863,False
97a5a32024,32.0,d,depto,1611.2,1367.7,1.9,1.9,0.47,0.47,7.3853549848495,7.221616663217221,25,1.0,False
02b6e92022,54.0,d,depto,2250.4,2650.9,1.7,1.7,0.38,0.38,7.719307523920704,7.883031643204163,26,0.9004514662143982,False
dde74a2026,52.9,d,depto,1371.8,0.0,1.9,1.9,0.47,0.47,7.224607728733698,0.0,12,0.8419766543636589,False
d8fb8f2022,51.3,d,depto,4525.0,2551.9,1.9,1.9,0.47,0.47,8.417593826193484,7.844985246869948,25,1.0,False
e9c73f2024,39.6,d,depto,1430.9,1879.1,1.9,1.9,0.47,0.47,7.266757512679961,7.53908024589874,25,1.0,False
49543a2024,87.2,f,casa_aislada,10966.5,4310.2,1.7,1.7,0.38,0.38,9.30269163304037,8.368971566619287,19,0.6649246383509402,False
67c8d02019,31.0,d,depto,608.5,1135.1,1.9,1.9,0.47,0.47,6.412638948921326,7.035356623575859,25,0.7480635641920389,False
1289c62026,49.1,d,depto,1075.4,2465.7,1.9,1.9,0.47,0.47,6.981377418852751,7.810636503946358,25,1.0,False
9fcd542026,44.8,f,casa_pareada,2455.7,2142.4,1.7,1.7,0.38,0.38,7.806574264944252,7.670148632278897,15,0.01797610317270101,False
4956572022,48.6,d,depto,2503.5,2445.9,1.9,1.9,0.47,0.47,7.825844392797672,7.802577196240639,25,1.0,False
6be2c82024,63.1,e,depto,12136.9,3323.7,1.7,1.7,0.38,0.38,9.40408806777231,8.109134723455474,13,0.32114815928388474,False
02a9242025,42.6,g,casa_aislada,16260.4,2645.3,1.1,1.1,0.28,0.28,9.696549480256344,7.880917716932831,24,1.0,False
0835102025,48.6,d,depto,1246.9,2444.8,3.0,3.0,0.6,0.6,7.129217417513809,7.80212754675527,10,0.267928495073733,False
71b1582022,47.0,d,depto,1824.8,1438.4,1.9,1.9,0.47,0.47,7.509773526130981,7.271981639073704,25,0.5436855351997416,False
60a0482024,26.2,d,depto,2438.2,1148.3,1.9,1.9,0.47,0.47,7.799425395674045,7.046908340374713,25,0.8053412782014218,False
e8f0922025,57.0,d,depto,2377.2,2761.6,1.9,1.9,0.47,0.47,7.774099178003478,7.92392754426586,25,1.0,False
89b8b32022,45.7,d,casa_pareada,3523.9,2330.6,1.9,1.9,0.47,0.47,8.16760734604964,7.754310006171394,27,1.0,False
ebe0792026,51.8,c,depto,11383.1,2749.7,4.0,4.0,0.0,0.0,9.339972923989716,7.919610703723965,-1,0.0,True
81346d2023,52.2,g,depto,4972.5,3104.4,1.6,1.6,0.33,0.33,8.511879096592468,8.040897810547069,29,1.0,False
7932ed2022,55.5,d,casa_pareada,8086.7,2708.3,1.7,1.7,0.38,0.38,8.998099668024253,7.904445577924863,32,0.9486013635719202,False
